id_bat;nomen_miss;miss_area
64038;2;1428.0
38053;4;135.0
38053;7;100.0
61468;5;47.37
61468;1;94.74
83407;3;66.44
11575;1;91.33
99174;3;576.55
64050;6;77.0
64050;3;294.18
27269;5;102.67
846;3;150.99
10609;3;80.94
40439;5;812.47
32035;3;190.23
57589;1;154.62
77905;1;338.6
77905;3;232.4
87369;9;71.44999999999999
89603;1;386.74
11935;5;448.82
42847;9;793.21
17211;1;103.34
87996;5;73.94
56318;1;167.0
34372;3;1869.16
45728;9;176.96
45728;3;283.84
93897;5;242.17
77733;3;2049.76
47358;4;94.42
77054;5;157.04
77054;1;345.12
77054;3;130.04
74272;1;462.71
91086;3;236.59
19809;4;293.25
11456;1;54.48
60826;1;645.2
80165;3;259.46
99239;3;263.0
1510;3;198.48
86584;3;690.62
673;5;193.36
13487;3;370.74
37186;4;164.76
18244;1;165.45
36103;2;165.88
37607;9;86.02
77954;5;2713.39
30416;3;2997.7200000000003
65310;3;5218.0
46765;5;58.83
39649;1;318.68
62810;7;234.54
78814;9;200.0
69657;3;152.66
98465;4;100.41
98465;3;100.41
21722;3;143.1
37994;20;634.6
32657;5;429.96
98855;1;11553.54
72074;3;257.68
25244;1;519.28
6506;3;264.4
32069;5;28.36
33992;1;166.18
68953;5;83.47
11000;3;528.12
58377;5;264.24
43364;13;132.28
97588;3;1313.32
86586;1;376.02
91960;1;1041.1
8751;5;1174.92
32224;3;14482.05
73790;5;37.08
57336;1;318.06
87333;3;106.25
90452;3;135.13
27431;3;135.37
5684;1;679.05
82000;3;20.0
71410;9;192.87
3678;13;12119.43
68724;1;521.85
60712;1;193.93
82332;3;704.25
64447;7;199.2
85353;3;494.98
64056;3;239.85
88600;1;395.46
72008;14;10.0
56655;5;400.0
56655;16;305.0
56655;3;305.0
53591;5;665.0
53591;3;573.0
7855;3;3456.0
50830;5;883.0
50830;16;190.0
50830;3;190.0
6643;9;135.0
92555;9;234.0
92555;3;702.0
50167;4;780.0
70779;3;40.0
88327;4;288.0
88327;1;144.0
89321;3;1920.0
72584;6;450.0
5429;4;944.0
41367;1;330.0
70298;1;428.0
4020;1;18.0
46142;5;65.0
545;1;11.0
12514;3;68.0
32913;1;225.0
32825;14;9.0
38712;14;9.0
76597;14;9.0
27559;14;6.0
26158;4;153.0
93384;1;10.0
68990;3;2340.0
87244;3;1984.0
96351;4;1020.0
96351;3;366.0
5205;9;1159.0
8350;1;12.0
34034;5;4576.0
16092;4;3780.0
2320;4;500.0
76056;4;83.0
30273;4;175.0
5448;14;6912.0
22997;14;4809.0
42438;3;16.0
348;3;744.0
73821;5;186.0
29666;3;27.0
63938;1;31.0
29118;1;33.0
85839;4;138.0
30333;9;219.0
63178;1;362.0
69943;4;35.0
39999;4;236.64
34747;4;253.0
9945;1;90.0
9574;9;1441.0
9574;3;1441.0
17229;9;267.0
57085;4;257.0
2594;3;560.0
88142;3;282.0
64204;9;95.0
91753;4;308.0
52552;9;340.0
52552;3;476.0
79493;7;158.0
5485;4;256.0
90108;4;57.0
55991;4;392.0
55991;3;345.0
37492;5;340.0
44582;9;440.0
57078;11;1185.96
26969;1;765.23
70828;1;28.13
72229;4;816.03
63988;4;695.08
63988;3;150.0
30437;9;649.81
88951;4;843.29
88951;3;170.0
20299;1;154.76
31349;1;77.95
62896;3;6433.62
64002;9;226.45
79918;1;20.15
20206;6;580.56
77214;16;611.2
11237;6;316.45
52895;1;116.42
51435;5;353.79
75212;4;1863.0
92190;3;1995.0
59320;1;12.0
44250;4;57.0
65151;3;545.0
52830;3;519.0
35627;4;15896.0
98362;9;19000.0
14576;6;322.0
28797;3;430.0
59239;4;499.99
48889;3;1405.87
29564;4;521.13
29564;3;120.0
35898;1;192.23
66449;3;12614.8
62960;13;3774.87
95815;13;4511.54
19414;14;1206.27
91479;4;67.64
88840;9;349.26
86396;13;300.0
86396;5;300.0
70727;3;213.11
93108;4;244.23
53721;4;111.34
92412;11;322.0
