id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
200820;47.61;1.0;47.61471800306057;498;;;;;;
123870;24.57;;24.566993001762604;505;;;;;;
586697;377.86;4.0;1338.805636056144;505;;;;;;
876574;527.46;1.0;527.4588768001788;505;;;;;;
380613;59.01;1.0;59.01206149662601;505;;;;;;
805682;315.76;1.0;315.7554630057614;505;;;;;;
602463;32.49;1.0;32.48525850689635;505;;;;;;
480585;1861.63;1.0;1861.627890463321;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
480585;1861.63;1.0;1861.627890463321;498;16.01.01.00;équipements;;kadaster_sport;2024-10-14 14:16;
480585;1861.63;1.0;1861.627890463321;498;16.01.02.00;équipements;;hub;2024-10-17 15:01:00;
480585;1861.63;1.0;1861.627890463321;498;16.00.00.00;équipements;;poi;2025-04-08 12:47;
669589;93.46;2.0;186.9297923039722;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
606992;91.0;2.0;182.004696586905;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
326823;91.49;2.0;165.18318239182176;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
106494;99.7;3.0;295.58240591584786;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
658684;95.65;2.0;191.30173231276663;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
478501;98.22;2.0;196.4426158408811;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
897571;76.63;3.0;217.69836490789976;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
750725;78.52;2.0;152.23908760161288;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
821127;98.85;3.0;293.9871483284049;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
233274;82.54;2.0;135.24478984959833;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
776006;84.74;3.0;213.43599386173304;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
510464;79.24;3.0;207.4566057511654;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
860794;79.95;2.0;118.68572526903534;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
314879;62.12;2.0;99.44133395257796;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
977028;90.75;2.0;176.18124406076095;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
635574;89.23;2.0;176.17059244929942;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
