id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;date_insert;date_out;nomen
806988;121.72;1.0;121.7175377460076;527;05.05.07.01;commerce;2024-10-17 15:01;;05
806988;121.72;1.0;121.7175377460076;527;05.00.00.99;commerce;2024-10-17 15:01;;05
806988;121.72;1.0;121.7175377460076;527;05.08.04.07;commerce;2024-10-17 15:01;;05
257095;15.52;1.0;15.515996534865549;527;;;;;
648949;1407.37;2.0;2412.4840356485656;527;05.08.04.01;industrie;2024-11-14 15:18;;05
916082;20.04;1.0;20.044312996592136;527;;;;;
315765;9.77;1.0;9.77048780678564;527;;;;;
179330;8.88;;8.875205501810775;527;;;;;
782309;2996.58;1.0;2996.581690368514;527;05.04.04.01;commerce;2024-10-17 15:01;;05
782309;2996.58;1.0;2996.581690368514;527;05.08.04.01;industrie;2024-10-17 15:01;;05
782309;2996.58;1.0;2996.581690368514;527;04.05.00.00;industrie;2024-11-14 15:18;;04
559303;129.48;2.0;230.3815700237904;527;01.00.00.00;logement;2024-09-18 15:32;;01
559303;129.48;2.0;230.3815700237904;527;03.04.00.00;bureau;2024-12-16 14:36:00;;03
950942;78.19;3.0;233.5499177215004;527;01.00.00.00;logement;2024-09-18 15:32;;01
950942;78.19;3.0;233.5499177215004;527;05.05.01.01;commerce;2024-10-17 15:01;;05
950942;78.19;3.0;233.5499177215004;527;05.08.04.01;industrie;2024-11-14 15:18;;05
402696;71.65;2.0;119.89912361481927;527;01.00.00.00;logement;2024-09-18 15:32;;01
402696;71.65;2.0;119.89912361481927;527;05.08.04.01;industrie;2024-11-14 15:18;;05
236601;64.18;3.0;179.83047841357356;527;01.00.00.00;logement;2024-09-18 15:32;;01
236601;64.18;3.0;179.83047841357356;527;05.05.01.01;commerce;2024-10-17 15:01;;05
622686;7.56;;7.556682362543649;527;;;;;
516722;11469.91;1.0;11469.90922245574;527;04.05.07.00;industrie;2024-11-14 15:17;;04
516722;11469.91;1.0;11469.90922245574;527;09.03.00.00;équipements;2024-11-14 15:18;;09
480068;375.06;1.0;375.05647375991305;527;09.04.00.00;équipements;2024-11-14 15:17;;09
795193;407.58;2.0;724.8699067465449;527;01.00.00.00;logement;2024-09-18 15:32;;01
795193;407.58;2.0;724.8699067465449;527;16.01.01.00;équipements;2024-10-14 14:16;;16
286571;408.38;2.0;721.9077990286708;527;16.01.01.00;équipements;2024-10-14 14:16;;16
668951;797.2;1.0;797.1968239912838;527;;;;;
222163;565.4;6.0;3155.5786330214705;355;01.00.00.00;logement;2024-09-18 15:32;;01
222163;565.4;6.0;3155.5786330214705;355;03.04.00.00;bureau;2024-12-16 14:36:00;;03
910392;80.87;4.0;286.2601360919963;466;01.00.00.00;logement;2024-09-18 15:32;;01
988472;101.16;5.0;353.6961581282406;466;01.00.00.00;logement;2024-09-18 15:32;;01
384528;86.16;4.0;306.1951214771939;466;01.00.00.00;logement;2024-09-18 15:32;;01
93175;73.71;1.0;73.70549399613301;466;;;;;
934332;166.04;3.0;287.8128084370924;466;01.00.00.00;logement;2024-09-18 15:32;;01
366947;5.26;;5.26493182492531;466;;;;;
267823;113.47;4.0;316.8429161559298;466;01.00.00.00;logement;2024-09-18 15:32;;01
615357;95.5;4.0;285.8114306924078;466;01.00.00.00;logement;2024-09-18 15:32;;01
341860;111.15;4.0;294.8443522319856;466;01.00.00.00;logement;2024-09-18 15:32;;01
201681;100.66;4.0;314.7233484441599;466;01.00.00.00;logement;2024-09-18 15:32;;01
893085;99.03;4.0;305.2580305202043;466;01.00.00.00;logement;2024-09-18 15:32;;01
381089;290.28;2.0;580.5491915565914;466;04.04.03.00;industrie;2024-11-14 15:18;;04
604418;43.73;2.0;73.46688725058074;466;;;;;
533206;76.77;4.0;270.5646640168084;466;01.00.00.00;logement;2024-09-18 15:32;;01
939019;23.09;;23.08541104022802;466;01.50.00.00;logement;2024-09-23 10:43;;01
318258;52.82;1.0;52.8150714748884;466;;;;;
906628;8.9;;8.899295000516037;466;01.50.00.00;logement;2024-09-23 10:43;;01
664364;10.55;;10.54909373494388;466;01.50.00.00;logement;2024-09-23 10:43;;01
793997;16.93;;16.929905499541004;466;01.50.00.00;logement;2024-09-23 10:43;;01
820329;68.23;4.0;220.99573672750932;466;01.00.00.00;logement;2024-09-18 15:32;;01
438720;173.79;3.0;427.21615454280726;466;01.00.00.00;logement;2024-09-18 15:32;;01
222074;72.09;3.0;210.13276243198845;466;01.00.00.00;logement;2024-09-18 15:32;;01
73108;116.45;3.0;305.4825733772642;466;01.00.00.00;logement;2024-09-18 15:32;;01
872399;14.09;;14.09022800182451;466;;;;;
909828;130.51;3.0;266.6453387257259;466;01.00.00.00;logement;2024-09-18 15:32;;01
909828;130.51;3.0;266.6453387257259;466;05.06.01.01;commerce;2024-10-17 15:01;;05
809056;111.08;5.0;368.1729214679018;466;01.00.00.00;logement;2024-09-18 15:32;;01
378371;15.04;1.0;15.043784998346544;466;01.50.00.00;logement;2024-09-23 10:43;;01
655666;13.81;1.0;13.81006949710198;466;;;;;
798938;85.27;3.0;230.2893895067224;466;01.00.00.00;logement;2024-09-18 15:32;;01
305123;8.37;;8.369723944763551;466;;;;;
663604;103.13;4.0;412.5200960279549;466;;;;;
632700;87.46;3.0;251.81775017703487;466;;;;;
790369;43.11;1.0;43.10647405307096;466;;;;;
568344;127.84;1.0;127.83732664185484;466;;;;;
287165;17.09;;17.0872284994333;466;;;;;
137700;17.09;;17.087228497000613;466;;;;;
689880;231.73;1.0;231.72546749811755;466;01.00.00.00;logement;2024-09-18 15:32;;01
518028;6.27;;6.265567526151376;466;;;;;
654921;49.35;1.0;49.34887849782586;466;06.02.01.00;équipements;2024-09-18 15:53;;06
654921;49.35;1.0;49.34887849782586;466;06.02.02.00;équipements;2024-09-18 15:53;;06
355915;20.15;;20.150495000676017;466;06.02.01.00;équipements;2024-09-18 15:53;;06
355915;20.15;;20.150495000676017;466;06.02.02.00;équipements;2024-09-18 15:53;;06
456254;7.15;;7.154225997145167;466;06.02.01.00;équipements;2024-09-18 15:53;;06
456254;7.15;;7.154225997145167;466;06.02.02.00;équipements;2024-09-18 15:53;;06
641792;8.84;1.0;8.83784816257248;466;;;;;
182276;6.58;;6.580925091851257;466;01.50.00.00;logement;2024-09-23 10:43;;01
795533;6.9;;6.901019385848846;466;01.50.00.00;logement;2024-09-23 10:43;;01
880079;7.81;;7.807418393994901;466;;;;;
394167;4148.62;4.0;11588.049156494766;466;01.00.00.00;logement;2024-09-18 15:32;;01
394167;4148.62;4.0;11588.049156494766;466;06.02.01.00;équipements;2024-09-18 15:53;;06
394167;4148.62;4.0;11588.049156494766;466;06.02.02.00;équipements;2024-09-18 15:53;;06
350506;5.26;;;466;;;;;
659690;116.42;1.0;116.42393951235474;466;;;;;
